Sample,Analyte,Element,HT, ,units,rep,1/22/2022,14:47:19
165987-1,1,Ag,1,-0.001,mg/L,1,1/22/2022,15:17:08
165987-1,1,Al,1,0.161,mg/L,1,1/22/2022,15:17:08
165987-1,1,Au,1,Uncal,mg/L,1,1/22/2022,15:17:08
165987-1,1,B,1,1.940,mg/L,1,1/22/2022,15:17:08
165987-1,1,Ba,1,0.0953,mg/L,1,1/22/2022,15:17:08
165987-1,1,Be,1,0.000,mg/L,1,1/22/2022,15:17:08
165987-1,1,Ca,1,50.900,mg/L,1,1/22/2022,15:17:08
165987-1,1,Co,1,0.0000,mg/L,1,1/22/2022,15:17:08
165987-1,1,Cr,1,-0.0003,mg/L,1,1/22/2022,15:17:08
165987-1,1,Cu,1,0.006,mg/L,1,1/22/2022,15:17:08
165987-1,1,Fe,1,0.020,mg/L,1,1/22/2022,15:17:08
165987-1,1,K,1,0.55,mg/L,1,1/22/2022,15:17:08
165987-1,1,La,1,Uncal,mg/L,1,1/22/2022,15:17:08
165987-1,1,Mg,1,7.39,mg/L,1,1/22/2022,15:17:08
165987-1,1,Mn,1,0.038,mg/L,1,1/22/2022,15:17:08
165987-1,1,Mo,1,0.002,mg/L,1,1/22/2022,15:17:08
165987-1,1,Na,1,10.62,mg/L,1,1/22/2022,15:17:08
165987-1,1,Ni,1,0.002,mg/L,1,1/22/2022,15:17:08
165987-1,1,P,1,-0.004,mg/L,1,1/22/2022,15:17:08
165987-1,1,S,1,9.75,mg/L,1,1/22/2022,15:17:08
165987-1,1,Sc,1,Uncal,mg/L,1,1/22/2022,15:17:08
165987-1,1,Si,1,9.900,mg/L,1,1/22/2022,15:17:08
165987-1,1,Sn,1,-0.001,mg/L,1,1/22/2022,15:17:08
165987-1,1,Sr,1,0.49,mg/L,1,1/22/2022,15:17:08
165987-1,1,Ti,1,0.001,mg/L,1,1/22/2022,15:17:08
165987-1,1,V,1,0.001,mg/L,1,1/22/2022,15:17:08
165987-1,1,W,1,0.002,mg/L,1,1/22/2022,15:17:08
165987-1,1,Zn,1,0.0481,mg/L,1,1/22/2022,15:17:08
165960-1,1,Ag,1,-0.001,mg/L,1,1/22/2022,15:19:51
165960-1,1,Al,1,67.000,mg/L,1,1/22/2022,15:19:51
165960-1,1,Au,1,Uncal,mg/L,1,1/22/2022,15:19:51
165960-1,1,B,1,0.552,mg/L,1,1/22/2022,15:19:51
165960-1,1,Ba,1,0.4640,mg/L,1,1/22/2022,15:19:51
165960-1,1,Be,1,0.001,mg/L,1,1/22/2022,15:19:51
165960-1,1,Ca,1,87.400,mg/L,1,1/22/2022,15:19:51
165960-1,1,Co,1,0.0057,mg/L,1,1/22/2022,15:19:51
165960-1,1,Cr,1,0.0037,mg/L,1,1/22/2022,15:19:51
165960-1,1,Cu,1,0.021,mg/L,1,1/22/2022,15:19:51
165960-1,1,Fe,1,0.483,mg/L,1,1/22/2022,15:19:51
165960-1,1,K,1,12.75,mg/L,1,1/22/2022,15:19:51
165960-1,1,La,1,Uncal,mg/L,1,1/22/2022,15:19:51
165960-1,1,Mg,1,13.18,mg/L,1,1/22/2022,15:19:51
165960-1,1,Mn,1,1.560,mg/L,1,1/22/2022,15:19:51
165960-1,1,Mo,1,0.001,mg/L,1,1/22/2022,15:19:51
165960-1,1,Na,1,7.68,mg/L,1,1/22/2022,15:19:51
165960-1,1,Ni,1,0.008,mg/L,1,1/22/2022,15:19:51
165960-1,1,P,1,9.380,mg/L,1,1/22/2022,15:19:51
165960-1,1,S,1,0.63,mg/L,1,1/22/2022,15:19:51
165960-1,1,Sc,1,Uncal,mg/L,1,1/22/2022,15:19:51
165960-1,1,Si,1,13.700,mg/L,1,1/22/2022,15:19:51
165960-1,1,Sn,1,0.004,mg/L,1,1/22/2022,15:19:51
165960-1,1,Sr,1,0.42,mg/L,1,1/22/2022,15:19:51
165960-1,1,Ti,1,0.005,mg/L,1,1/22/2022,15:19:51
165960-1,1,V,1,0.006,mg/L,1,1/22/2022,15:19:51
