Sample,Analyte,Element,HT, ,units,rep,1/3/2022,10:13:38
165693-1,1,Ag,1,0.001,mg/L,1,1/3/2022,10:37:49
165693-1,1,Al,1,0.215,mg/L,1,1/3/2022,10:37:49
165693-1,1,Au,1,Uncal,mg/L,1,1/3/2022,10:37:49
165693-1,1,B,1,0.689,mg/L,1,1/3/2022,10:37:49
165693-1,1,Ba,1,0.0250,mg/L,1,1/3/2022,10:37:49
165693-1,1,Be,1,0.000,mg/L,1,1/3/2022,10:37:49
165693-1,1,Ca,1,23.300,mg/L,1,1/3/2022,10:37:49
165693-1,1,Co,1,-0.0371,mg/L,1,1/3/2022,10:37:49
165693-1,1,Cr,1,Uncal,mg/L,1,1/3/2022,10:37:49
165693-1,1,Cu,1,0.150,mg/L,1,1/3/2022,10:37:49
165693-1,1,Fe,1,Uncal,mg/L,1,1/3/2022,10:37:49
165693-1,1,K,1,0.65,mg/L,1,1/3/2022,10:37:49
165693-1,1,La,1,Uncal,mg/L,1,1/3/2022,10:37:49
165693-1,1,Mg,1,4.50,mg/L,1,1/3/2022,10:37:49
165693-1,1,Mn,1,-0.685,mg/L,1,1/3/2022,10:37:49
165693-1,1,Mo,1,-0.060,mg/L,1,1/3/2022,10:37:49
165693-1,1,Na,1,33.64,mg/L,1,1/3/2022,10:37:49
165693-1,1,Ni,1,Uncal,mg/L,1,1/3/2022,10:37:49
165693-1,1,P,1,-0.019,mg/L,1,1/3/2022,10:37:49
165693-1,1,S,1,4.39,mg/L,1,1/3/2022,10:37:49
165693-1,1,Sc,1,Uncal,mg/L,1,1/3/2022,10:37:49
165693-1,1,Si,1,5.540,mg/L,1,1/3/2022,10:37:49
165693-1,1,Sn,1,-0.001,mg/L,1,1/3/2022,10:37:49
165693-1,1,Sr,1,0.21,mg/L,1,1/3/2022,10:37:49
165693-1,1,Ti,1,0.002,mg/L,1,1/3/2022,10:37:49
165693-1,1,V,1,-0.002,mg/L,1,1/3/2022,10:37:49
165693-1,1,W,1,0.002,mg/L,1,1/3/2022,10:37:49
165693-1,1,Zn,1,0.1040,mg/L,1,1/3/2022,10:37:49
165697-1,1,Ag,1,0.000,mg/L,1,1/3/2022,10:40:02
165697-1,1,Al,1,0.172,mg/L,1,1/3/2022,10:40:02
165697-1,1,Au,1,Uncal,mg/L,1,1/3/2022,10:40:02
165697-1,1,B,1,0.630,mg/L,1,1/3/2022,10:40:02
165697-1,1,Ba,1,0.0526,mg/L,1,1/3/2022,10:40:02
165697-1,1,Be,1,0.000,mg/L,1,1/3/2022,10:40:02
165697-1,1,Ca,1,14.000,mg/L,1,1/3/2022,10:40:02
165697-1,1,Co,1,-0.0374,mg/L,1,1/3/2022,10:40:02
165697-1,1,Cr,1,Uncal,mg/L,1,1/3/2022,10:40:02
165697-1,1,Cu,1,-0.023,mg/L,1,1/3/2022,10:40:02
165697-1,1,Fe,1,Uncal,mg/L,1,1/3/2022,10:40:02
165697-1,1,K,1,0.22,mg/L,1,1/3/2022,10:40:02
165697-1,1,La,1,Uncal,mg/L,1,1/3/2022,10:40:02
165697-1,1,Mg,1,1.33,mg/L,1,1/3/2022,10:40:02
165697-1,1,Mn,1,-0.632,mg/L,1,1/3/2022,10:40:02
165697-1,1,Mo,1,-0.064,mg/L,1,1/3/2022,10:40:02
165697-1,1,Na,1,5.58,mg/L,1,1/3/2022,10:40:02
165697-1,1,Ni,1,Uncal,mg/L,1,1/3/2022,10:40:02
165697-1,1,P,1,-0.028,mg/L,1,1/3/2022,10:40:02
165697-1,1,S,1,1.16,mg/L,1,1/3/2022,10:40:02
165697-1,1,Sc,1,Uncal,mg/L,1,1/3/2022,10:40:02
165697-1,1,Si,1,2.610,mg/L,1,1/3/2022,10:40:02
