Sample,Analyte,Element,HT, ,units,rep,1/18/2023,13:49:58
172185-5,1,Ag,1,0.000,mg/L,1,1/18/2023,14:11:42
172185-5,1,Al,1,0.262,mg/L,1,1/18/2023,14:11:42
172185-5,1,Au,1,Uncal,mg/L,1,1/18/2023,14:11:42
172185-5,1,B,1,0.543,mg/L,1,1/18/2023,14:11:42
172185-5,1,Ba,1,0.0105,mg/L,1,1/18/2023,14:11:42
172185-5,1,Be,1,0.000,mg/L,1,1/18/2023,14:11:42
172185-5,1,Ca,1,14.400,mg/L,1,1/18/2023,14:11:42
172185-5,1,Co,1,0.0002,mg/L,1,1/18/2023,14:11:42
172185-5,1,Cr,1,0.0009,mg/L,1,1/18/2023,14:11:42
172185-5,1,Cu,1,0.001,mg/L,1,1/18/2023,14:11:42
172185-5,1,Fe,1,0.330,mg/L,1,1/18/2023,14:11:42
172185-5,1,K,1,0.27,mg/L,1,1/18/2023,14:11:42
172185-5,1,La,1,Uncal,mg/L,1,1/18/2023,14:11:42
172185-5,1,Mg,1,0.45,mg/L,1,1/18/2023,14:11:42
172185-5,1,Mn,1,0.005,mg/L,1,1/18/2023,14:11:42
172185-5,1,Mo,1,0.002,mg/L,1,1/18/2023,14:11:42
172185-5,1,Na,1,3.05,mg/L,1,1/18/2023,14:11:42
172185-5,1,Ni,1,0.001,mg/L,1,1/18/2023,14:11:42
172185-5,1,P,1,0.000,mg/L,1,1/18/2023,14:11:42
172185-5,1,S,1,0.29,mg/L,1,1/18/2023,14:11:42
172185-5,1,Sc,1,Uncal,mg/L,1,1/18/2023,14:11:42
172185-5,1,Si,1,2.360,mg/L,1,1/18/2023,14:11:42
172185-5,1,Sn,1,-0.001,mg/L,1,1/18/2023,14:11:42
172185-5,1,Sr,1,0.02,mg/L,1,1/18/2023,14:11:42
172185-5,1,Ti,1,0.001,mg/L,1,1/18/2023,14:11:42
172185-5,1,V,1,0.001,mg/L,1,1/18/2023,14:11:42
172185-5,1,W,1,0.000,mg/L,1,1/18/2023,14:11:42
172185-5,1,Zn,1,0.0069,mg/L,1,1/18/2023,14:11:42
172185-3,1,Ag,1,0.000,mg/L,1,1/18/2023,14:17:08
172185-3,1,Al,1,0.170,mg/L,1,1/18/2023,14:17:08
172185-3,1,Au,1,Uncal,mg/L,1,1/18/2023,14:17:08
172185-3,1,B,1,0.563,mg/L,1,1/18/2023,14:17:08
172185-3,1,Ba,1,0.0004,mg/L,1,1/18/2023,14:17:08
172185-3,1,Be,1,0.000,mg/L,1,1/18/2023,14:17:08
172185-3,1,Ca,1,6.000,mg/L,1,1/18/2023,14:17:08
172185-3,1,Co,1,0.0002,mg/L,1,1/18/2023,14:17:08
172185-3,1,Cr,1,0.0003,mg/L,1,1/18/2023,14:17:08
172185-3,1,Cu,1,0.006,mg/L,1,1/18/2023,14:17:08
172185-3,1,Fe,1,0.150,mg/L,1,1/18/2023,14:17:08
172185-3,1,K,1,0.33,mg/L,1,1/18/2023,14:17:08
172185-3,1,La,1,Uncal,mg/L,1,1/18/2023,14:17:08
172185-3,1,Mg,1,1.22,mg/L,1,1/18/2023,14:17:08
172185-3,1,Mn,1,-0.001,mg/L,1,1/18/2023,14:17:08
172185-3,1,Mo,1,0.000,mg/L,1,1/18/2023,14:17:08
172185-3,1,Na,1,3.97,mg/L,1,1/18/2023,14:17:08
172185-3,1,Ni,1,0.001,mg/L,1,1/18/2023,14:17:08
172185-3,1,P,1,-0.004,mg/L,1,1/18/2023,14:17:08
172185-3,1,S,1,0.31,mg/L,1,1/18/2023,14:17:08
172185-3,1,Sc,1,Uncal,mg/L,1,1/18/2023,14:17:08
172185-3,1,Si,1,2.550,mg/L,1,1/18/2023,14:17:08
172185-3,1,Sn,1,-0.001,mg/L,1,1/18/2023,14:17:08
172185-3,1,Sr,1,0.00,mg/L,1,1/18/2023,14:17:08
172185-3,1,Ti,1,0.001,mg/L,1,1/18/2023,14:17:08
172185-3,1,V,1,0.000,mg/L,1,1/18/2023,14:17:08
172185-3,1,W,1,0.000,mg/L,1,1/18/2023,14:17:08
172185-3,1,Zn,1,0.0126,mg/L,1,1/18/2023,14:17:08
172194-1,1,Ag,1,0.000,mg/L,1,1/18/2023,14:19:52
172194-1,1,Al,1,0.172,mg/L,1,1/18/2023,14:19:52
172194-1,1,Au,1,Uncal,mg/L,1,1/18/2023,14:19:52
