Sample,Analyte,Element,HT, ,units,rep,4/18/2024,15:28:15
180022-3,1,Ba,1,0.2200,mg/L,1,4/18/2024,16:06:06
180022-3,1,Be,1,0.012,mg/L,1,4/18/2024,16:06:06
180022-3,1,Ca,1,11.200,mg/L,1,4/18/2024,16:06:06
180022-3,1,Co,1,0.0086,mg/L,1,4/18/2024,16:06:06
180022-3,1,Cr,1,0.0690,mg/L,1,4/18/2024,16:06:06
180022-3,1,Cu,1,4.400,mg/L,1,4/18/2024,16:06:06
180022-3,1,Fe,1,4.100,mg/L,1,4/18/2024,16:06:06
180022-3,1,K,1,13.69,mg/L,1,4/18/2024,16:06:06
180022-3,1,La,1,Uncal,mg/L,1,4/18/2024,16:06:06
180022-3,1,Mg,1,21.92,mg/L,1,4/18/2024,16:06:06
180022-3,1,Mn,1,0.061,mg/L,1,4/18/2024,16:06:06
180022-3,1,Mo,1,0.052,mg/L,1,4/18/2024,16:06:06
180022-3,1,Na,1,208.89,mg/L,1,4/18/2024,16:06:06
180022-3,1,Ni,1,-0.013,mg/L,1,4/18/2024,16:06:06
180022-3,1,P,1,0.303,mg/L,1,4/18/2024,16:06:06
180022-3,1,S,1,14.03,mg/L,1,4/18/2024,16:06:06
180022-3,1,Sc,1,Uncal,mg/L,1,4/18/2024,16:06:06
180022-3,1,Si,1,65.500,mg/L,1,4/18/2024,16:06:06
180022-3,1,Sn,1,0.353,mg/L,1,4/18/2024,16:06:06
180022-3,1,Sr,1,0.14,mg/L,1,4/18/2024,16:06:06
180022-3,1,Ti,1,0.039,mg/L,1,4/18/2024,16:06:06
180022-3,1,V,1,-0.002,mg/L,1,4/18/2024,16:06:06
180022-3,1,W,1,0.143,mg/L,1,4/18/2024,16:06:06
180022-3,1,Zn,1,15.6000,mg/L,1,4/18/2024,16:06:06
180022-4,1,Ag,1,-0.009,mg/L,1,4/18/2024,16:08:48
180022-4,1,Al,1,12.700,mg/L,1,4/18/2024,16:08:48
180022-4,1,Au,1,Uncal,mg/L,1,4/18/2024,16:08:48
180022-4,1,B,1,46.600,mg/L,1,4/18/2024,16:08:48
180022-4,1,Ba,1,0.2550,mg/L,1,4/18/2024,16:08:48
180022-4,1,Be,1,0.001,mg/L,1,4/18/2024,16:08:48
180022-4,1,Ca,1,20.500,mg/L,1,4/18/2024,16:08:48
180022-4,1,Co,1,0.0056,mg/L,1,4/18/2024,16:08:48
180022-4,1,Cr,1,0.1040,mg/L,1,4/18/2024,16:08:48
180022-4,1,Cu,1,0.770,mg/L,1,4/18/2024,16:08:48
180022-4,1,Fe,1,18.100,mg/L,1,4/18/2024,16:08:48
180022-4,1,K,1,17.37,mg/L,1,4/18/2024,16:08:48
180022-4,1,La,1,Uncal,mg/L,1,4/18/2024,16:08:48
180022-4,1,Mg,1,22.68,mg/L,1,4/18/2024,16:08:48
180022-4,1,Mn,1,0.123,mg/L,1,4/18/2024,16:08:48
180022-4,1,Mo,1,0.103,mg/L,1,4/18/2024,16:08:48
180022-4,1,Na,1,218.72,mg/L,1,4/18/2024,16:08:48
180022-4,1,Ni,1,-0.017,mg/L,1,4/18/2024,16:08:48
180022-4,1,P,1,0.453,mg/L,1,4/18/2024,16:08:48
180022-4,1,S,1,15.20,mg/L,1,4/18/2024,16:08:48
180022-4,1,Sc,1,Uncal,mg/L,1,4/18/2024,16:08:48
180022-4,1,Si,1,78.900,mg/L,1,4/18/2024,16:08:48
180022-4,1,Sn,1,-0.085,mg/L,1,4/18/2024,16:08:48
180022-4,1,Sr,1,0.17,mg/L,1,4/18/2024,16:08:48
180022-4,1,Ti,1,0.074,mg/L,1,4/18/2024,16:08:48
180022-4,1,V,1,0.003,mg/L,1,4/18/2024,16:08:48
180022-4,1,W,1,0.099,mg/L,1,4/18/2024,16:08:48
180022-4,1,Zn,1,15.1000,mg/L,1,4/18/2024,16:08:48
180023-1,1,Ag,1,-0.008,mg/L,1,4/18/2024,16:11:30
180023-1,1,Al,1,14.100,mg/L,1,4/18/2024,16:11:30
180023-1,1,Au,1,Uncal,mg/L,1,4/18/2024,16:11:30
180023-1,1,B,1,46.500,mg/L,1,4/18/2024,16:11:30
180023-1,1,Ba,1,0.0624,mg/L,1,4/18/2024,16:11:30
180023-1,1,Be,1,0.001,mg/L,1,4/18/2024,16:11:30
180023-1,1,Ca,1,1.280,mg/L,1,4/18/2024,16:11:30
180023-1,1,Co,1,0.0127,mg/L,1,4/18/2024,16:11:30
180023-1,1,Cr,1,0.0335,mg/L,1,4/18/2024,16:11:30
180023-1,1,Cu,1,0.066,mg/L,1,4/18/2024,16:11:30
180023-1,1,Fe,1,10.900,mg/L,1,4/18/2024,16:11:30
180023-1,1,K,1,842.24,mg/L,1,4/18/2024,16:11:30
180023-1,1,La,1,Uncal,mg/L,1,4/18/2024,16:11:30
180023-1,1,Mg,1,0.79,mg/L,1,4/18/2024,16:11:30
180023-1,1,Mn,1,0.116,mg/L,1,4/18/2024,16:11:30
180023-1,1,Mo,1,0.034,mg/L,1,4/18/2024,16:11:30
180023-1,1,Na,1,252.59,mg/L,1,4/18/2024,16:11:30
180023-1,1,Ni,1,-0.014,mg/L,1,4/18/2024,16:11:30
180023-1,1,P,1,1.010,mg/L,1,4/18/2024,16:11:30
180023-1,1,S,1,22.07,mg/L,1,4/18/2024,16:11:30
180023-1,1,Sc,1,Uncal,mg/L,1,4/18/2024,16:11:30
180023-1,1,Si,1,73.900,mg/L,1,4/18/2024,16:11:30
180023-1,1,Sn,1,-0.763,mg/L,1,4/18/2024,16:11:30
180023-1,1,Sr,1,0.01,mg/L,1,4/18/2024,16:11:30
180023-1,1,Ti,1,0.057,mg/L,1,4/18/2024,16:11:30
180023-1,1,V,1,-0.003,mg/L,1,4/18/2024,16:11:30
180023-1,1,W,1,0.066,mg/L,1,4/18/2024,16:11:30
180023-1,1,Zn,1,0.3510,mg/L,1,4/18/2024,16:11:30
180023-2,1,Ag,1,0.002,mg/L,1,4/18/2024,16:14:12
180023-2,1,Al,1,11.300,mg/L,1,4/18/2024,16:14:12
180023-2,1,Au,1,Uncal,mg/L,1,4/18/2024,16:14:12
180023-2,1,B,1,41.200,mg/L,1,4/18/2024,16:14:12
180023-2,1,Ba,1,0.1940,mg/L,1,4/18/2024,16:14:12
180023-2,1,Be,1,0.003,mg/L,1,4/18/2024,16:14:12
180023-2,1,Ca,1,77.900,mg/L,1,4/18/2024,16:14:12
180023-2,1,Co,1,0.0130,mg/L,1,4/18/2024,16:14:12
180023-2,1,Cr,1,0.0426,mg/L,1,4/18/2024,16:14:12
180023-2,1,Cu,1,0.230,mg/L,1,4/18/2024,16:14:12
180023-2,1,Fe,1,15.500,mg/L,1,4/18/2024,16:14:12
180023-2,1,K,1,18.22,mg/L,1,4/18/2024,16:14:12
180023-2,1,La,1,Uncal,mg/L,1,4/18/2024,16:14:12
180023-2,1,Mg,1,46.69,mg/L,1,4/18/2024,16:14:12
180023-2,1,Mn,1,0.145,mg/L,1,4/18/2024,16:14:12
180023-2,1,Mo,1,0.033,mg/L,1,4/18/2024,16:14:12
180023-2,1,Na,1,525.54,mg/L,1,4/18/2024,16:14:12
180023-2,1,Ni,1,-0.001,mg/L,1,4/18/2024,16:14:12
180023-2,1,P,1,1.060,mg/L,1,4/18/2024,16:14:12
180023-2,1,S,1,22.68,mg/L,1,4/18/2024,16:14:12
180023-2,1,Sc,1,Uncal,mg/L,1,4/18/2024,16:14:12
180023-2,1,Si,1,72.000,mg/L,1,4/18/2024,16:14:12
180023-2,1,Sn,1,-0.291,mg/L,1,4/18/2024,16:14:12
180023-2,1,Sr,1,0.29,mg/L,1,4/18/2024,16:14:12
180023-2,1,Ti,1,0.041,mg/L,1,4/18/2024,16:14:12
180023-2,1,V,1,0.023,mg/L,1,4/18/2024,16:14:12
180023-2,1,W,1,0.156,mg/L,1,4/18/2024,16:14:12
180023-2,1,Zn,1,19.1000,mg/L,1,4/18/2024,16:14:12
180023-3,1,Ag,1,0.000,mg/L,1,4/18/2024,16:16:54
180023-3,1,Al,1,12.400,mg/L,1,4/18/2024,16:16:54
180023-3,1,Au,1,Uncal,mg/L,1,4/18/2024,16:16:54
180023-3,1,B,1,43.100,mg/L,1,4/18/2024,16:16:54
180023-3,1,Ba,1,0.2960,mg/L,1,4/18/2024,16:16:54
180023-3,1,Be,1,0.001,mg/L,1,4/18/2024,16:16:54
180023-3,1,Ca,1,384.000,mg/L,1,4/18/2024,16:16:54
180023-3,1,Co,1,0.0204,mg/L,1,4/18/2024,16:16:54
180023-3,1,Cr,1,0.1040,mg/L,1,4/18/2024,16:16:54
180023-3,1,Cu,1,1.200,mg/L,1,4/18/2024,16:16:54
180023-3,1,Fe,1,57.800,mg/L,1,4/18/2024,16:16:54
180023-3,1,K,1,33.07,mg/L,1,4/18/2024,16:16:54
180023-3,1,La,1,Uncal,mg/L,1,4/18/2024,16:16:54
180023-3,1,Mg,1,27.70,mg/L,1,4/18/2024,16:16:54
180023-3,1,Mn,1,0.418,mg/L,1,4/18/2024,16:16:54
180023-3,1,Mo,1,0.077,mg/L,1,4/18/2024,16:16:54
180023-3,1,Na,1,595.30,mg/L,1,4/18/2024,16:16:54
180023-3,1,Ni,1,-0.044,mg/L,1,4/18/2024,16:16:54
180023-3,1,P,1,0.422,mg/L,1,4/18/2024,16:16:54
180023-3,1,S,1,31.46,mg/L,1,4/18/2024,16:16:54
180023-3,1,Sc,1,Uncal,mg/L,1,4/18/2024,16:16:54
180023-3,1,Si,1,121.000,mg/L,1,4/18/2024,16:16:54
180023-3,1,Sn,1,0.622,mg/L,1,4/18/2024,16:16:54
180023-3,1,Sr,1,1.29,mg/L,1,4/18/2024,16:16:54
180023-3,1,Ti,1,0.038,mg/L,1,4/18/2024,16:16:54
180023-3,1,V,1,0.037,mg/L,1,4/18/2024,16:16:54
180023-3,1,W,1,0.022,mg/L,1,4/18/2024,16:16:54
180023-3,1,Zn,1,4.1900,mg/L,1,4/18/2024,16:16:54
180023-4,1,Ag,1,-0.001,mg/L,1,4/18/2024,16:19:37
180023-4,1,Al,1,12.400,mg/L,1,4/18/2024,16:19:37
180023-4,1,Au,1,Uncal,mg/L,1,4/18/2024,16:19:37
180023-4,1,B,1,44.800,mg/L,1,4/18/2024,16:19:37
180023-4,1,Ba,1,0.2610,mg/L,1,4/18/2024,16:19:37
180023-4,1,Be,1,0.002,mg/L,1,4/18/2024,16:19:37
180023-4,1,Ca,1,418.000,mg/L,1,4/18/2024,16:19:37
180023-4,1,Co,1,0.0093,mg/L,1,4/18/2024,16:19:37
180023-4,1,Cr,1,0.0969,mg/L,1,4/18/2024,16:19:37
180023-4,1,Cu,1,0.920,mg/L,1,4/18/2024,16:19:37
180023-4,1,Fe,1,10.400,mg/L,1,4/18/2024,16:19:37
180023-4,1,K,1,35.40,mg/L,1,4/18/2024,16:19:37
180023-4,1,La,1,Uncal,mg/L,1,4/18/2024,16:19:37
180023-4,1,Mg,1,29.98,mg/L,1,4/18/2024,16:19:37
180023-4,1,Mn,1,0.189,mg/L,1,4/18/2024,16:19:37
180023-4,1,Mo,1,0.056,mg/L,1,4/18/2024,16:19:37
180023-4,1,Na,1,642.09,mg/L,1,4/18/2024,16:19:37
180023-4,1,Ni,1,-0.032,mg/L,1,4/18/2024,16:19:37
180023-4,1,P,1,0.481,mg/L,1,4/18/2024,16:19:37
180023-4,1,S,1,34.52,mg/L,1,4/18/2024,16:19:37
180023-4,1,Sc,1,Uncal,mg/L,1,4/18/2024,16:19:37
180023-4,1,Si,1,120.000,mg/L,1,4/18/2024,16:19:37
180023-4,1,Sn,1,-0.134,mg/L,1,4/18/2024,16:19:37
180023-4,1,Sr,1,1.41,mg/L,1,4/18/2024,16:19:37
180023-4,1,Ti,1,0.042,mg/L,1,4/18/2024,16:19:37
180023-4,1,V,1,0.006,mg/L,1,4/18/2024,16:19:37
180023-4,1,W,1,0.038,mg/L,1,4/18/2024,16:19:37
180023-4,1,Zn,1,3.2500,mg/L,1,4/18/2024,16:19:37
180023-5,1,Ag,1,-0.003,mg/L,1,4/18/2024,16:22:18
180023-5,1,Al,1,13.700,mg/L,1,4/18/2024,16:22:18
180023-5,1,Au,1,Uncal,mg/L,1,4/18/2024,16:22:18
180023-5,1,B,1,46.300,mg/L,1,4/18/2024,16:22:18
180023-5,1,Ba,1,0.3370,mg/L,1,4/18/2024,16:22:18
180023-5,1,Be,1,0.002,mg/L,1,4/18/2024,16:22:18
180023-5,1,Ca,1,62.400,mg/L,1,4/18/2024,16:22:18
180023-5,1,Co,1,0.0067,mg/L,1,4/18/2024,16:22:18
180023-5,1,Cr,1,0.0610,mg/L,1,4/18/2024,16:22:18
180023-5,1,Cu,1,0.500,mg/L,1,4/18/2024,16:22:18
180023-5,1,Fe,1,28.700,mg/L,1,4/18/2024,16:22:18
180023-5,1,K,1,20.00,mg/L,1,4/18/2024,16:22:18
180023-5,1,La,1,Uncal,mg/L,1,4/18/2024,16:22:18
180023-5,1,Mg,1,42.07,mg/L,1,4/18/2024,16:22:18
180023-5,1,Mn,1,0.296,mg/L,1,4/18/2024,16:22:18
180023-5,1,Mo,1,0.058,mg/L,1,4/18/2024,16:22:18
180023-5,1,Na,1,337.35,mg/L,1,4/18/2024,16:22:18
180023-5,1,Ni,1,-0.014,mg/L,1,4/18/2024,16:22:18
180023-5,1,P,1,0.316,mg/L,1,4/18/2024,16:22:18
180023-5,1,S,1,19.82,mg/L,1,4/18/2024,16:22:18
180023-5,1,Sc,1,Uncal,mg/L,1,4/18/2024,16:22:18
180023-5,1,Si,1,74.800,mg/L,1,4/18/2024,16:22:18
180023-5,1,Sn,1,-0.441,mg/L,1,4/18/2024,16:22:18
180023-5,1,Sr,1,0.22,mg/L,1,4/18/2024,16:22:18
180023-5,1,Ti,1,0.046,mg/L,1,4/18/2024,16:22:18
180023-5,1,V,1,0.019,mg/L,1,4/18/2024,16:22:18
180023-5,1,W,1,0.157,mg/L,1,4/18/2024,16:22:18
180023-5,1,Zn,1,18.4000,mg/L,1,4/18/2024,16:22:18
180023-6,1,Ag,1,-0.008,mg/L,1,4/18/2024,16:25:01
180023-6,1,Al,1,11.700,mg/L,1,4/18/2024,16:25:01
180023-6,1,Au,1,Uncal,mg/L,1,4/18/2024,16:25:01
180023-6,1,B,1,43.700,mg/L,1,4/18/2024,16:25:01
180023-6,1,Ba,1,0.3340,mg/L,1,4/18/2024,16:25:01
180023-6,1,Be,1,0.003,mg/L,1,4/18/2024,16:25:01
180023-6,1,Ca,1,68.200,mg/L,1,4/18/2024,16:25:01
180023-6,1,Co,1,0.0128,mg/L,1,4/18/2024,16:25:01
180023-6,1,Cr,1,0.0739,mg/L,1,4/18/2024,16:25:01
180023-6,1,Cu,1,0.130,mg/L,1,4/18/2024,16:25:01
180023-6,1,Fe,1,13.100,mg/L,1,4/18/2024,16:25:01
180023-6,1,K,1,18.78,mg/L,1,4/18/2024,16:25:01
180023-6,1,La,1,Uncal,mg/L,1,4/18/2024,16:25:01
180023-6,1,Mg,1,44.89,mg/L,1,4/18/2024,16:25:01
180023-6,1,Mn,1,0.261,mg/L,1,4/18/2024,16:25:01
180023-6,1,Mo,1,0.016,mg/L,1,4/18/2024,16:25:01
180023-6,1,Na,1,510.53,mg/L,1,4/18/2024,16:25:01
180023-6,1,Ni,1,1.040,mg/L,1,4/18/2024,16:25:01
180023-6,1,P,1,0.840,mg/L,1,4/18/2024,16:25:01
180023-6,1,S,1,22.78,mg/L,1,4/18/2024,16:25:01
180023-6,1,Sc,1,Uncal,mg/L,1,4/18/2024,16:25:01
180023-6,1,Si,1,76.400,mg/L,1,4/18/2024,16:25:01
180023-6,1,Sn,1,-0.087,mg/L,1,4/18/2024,16:25:01
180023-6,1,Sr,1,0.25,mg/L,1,4/18/2024,16:25:01
180023-6,1,Ti,1,0.040,mg/L,1,4/18/2024,16:25:01
180023-6,1,V,1,0.019,mg/L,1,4/18/2024,16:25:01
180023-6,1,W,1,0.142,mg/L,1,4/18/2024,16:25:01
180023-6,1,Zn,1,18.1000,mg/L,1,4/18/2024,16:25:01
180031-1,1,Ag,1,0.000,mg/L,1,4/18/2024,16:27:43
180031-1,1,Al,1,0.179,mg/L,1,4/18/2024,16:27:43
180031-1,1,Au,1,Uncal,mg/L,1,4/18/2024,16:27:43
180031-1,1,B,1,0.696,mg/L,1,4/18/2024,16:27:43
180031-1,1,Ba,1,0.0033,mg/L,1,4/18/2024,16:27:43
180031-1,1,Be,1,0.000,mg/L,1,4/18/2024,16:27:43
180031-1,1,Ca,1,7.050,mg/L,1,4/18/2024,16:27:43
180031-1,1,Co,1,-0.0001,mg/L,1,4/18/2024,16:27:43
180031-1,1,Cr,1,0.0004,mg/L,1,4/18/2024,16:27:43
180031-1,1,Cu,1,0.042,mg/L,1,4/18/2024,16:27:43
180031-1,1,Fe,1,4.090,mg/L,1,4/18/2024,16:27:43
180031-1,1,K,1,0.35,mg/L,1,4/18/2024,16:27:43
180031-1,1,La,1,Uncal,mg/L,1,4/18/2024,16:27:43
180031-1,1,Mg,1,1.95,mg/L,1,4/18/2024,16:27:43
180031-1,1,Mn,1,0.008,mg/L,1,4/18/2024,16:27:43
180031-1,1,Mo,1,0.000,mg/L,1,4/18/2024,16:27:43
