Sample,Analyte,Element,HT, ,units,rep,4/18/2024,15:28:15
180020-1,1,Ag,1,0.002,mg/L,1,4/18/2024,15:52:34
180020-1,1,Al,1,0.184,mg/L,1,4/18/2024,15:52:34
180020-1,1,Au,1,Uncal,mg/L,1,4/18/2024,15:52:34
180020-1,1,B,1,0.872,mg/L,1,4/18/2024,15:52:34
180020-1,1,Ba,1,0.2160,mg/L,1,4/18/2024,15:52:34
180020-1,1,Be,1,0.001,mg/L,1,4/18/2024,15:52:34
180020-1,1,Ca,1,####,mg/L,1,4/18/2024,15:52:34
180020-1,1,Co,1,0.0003,mg/L,1,4/18/2024,15:52:34
180020-1,1,Cr,1,0.0012,mg/L,1,4/18/2024,15:52:34
180020-1,1,Cu,1,0.280,mg/L,1,4/18/2024,15:52:34
180020-1,1,Fe,1,0.400,mg/L,1,4/18/2024,15:52:34
180020-1,1,K,1,10.64,mg/L,1,4/18/2024,15:52:34
180020-1,1,La,1,Uncal,mg/L,1,4/18/2024,15:52:34
180020-1,1,Mg,1,141.62,mg/L,1,4/18/2024,15:52:34
180020-1,1,Mn,1,1.550,mg/L,1,4/18/2024,15:52:34
180020-1,1,Mo,1,0.003,mg/L,1,4/18/2024,15:52:34
180020-1,1,Na,1,2926.48,mg/L,1,4/18/2024,15:52:34
180020-1,1,Ni,1,0.002,mg/L,1,4/18/2024,15:52:34
180020-1,1,P,1,0.010,mg/L,1,4/18/2024,15:52:34
180020-1,1,S,1,85.86,mg/L,1,4/18/2024,15:52:34
180020-1,1,Sc,1,Uncal,mg/L,1,4/18/2024,15:52:34
180020-1,1,Si,1,9.580,mg/L,1,4/18/2024,15:52:34
180020-1,1,Sn,1,0.084,mg/L,1,4/18/2024,15:52:34
180020-1,1,Sr,1,15.40,mg/L,1,4/18/2024,15:52:34
180020-1,1,Ti,1,0.000,mg/L,1,4/18/2024,15:52:34
180020-1,1,V,1,0.002,mg/L,1,4/18/2024,15:52:34
180020-1,1,W,1,0.000,mg/L,1,4/18/2024,15:52:34
180020-1,1,Zn,1,0.2550,mg/L,1,4/18/2024,15:52:34
180020-2,1,Ag,1,0.002,mg/L,1,4/18/2024,15:55:16
180020-2,1,Al,1,2.450,mg/L,1,4/18/2024,15:55:16
180020-2,1,Au,1,Uncal,mg/L,1,4/18/2024,15:55:16
180020-2,1,B,1,11.900,mg/L,1,4/18/2024,15:55:16
180020-2,1,Ba,1,0.0164,mg/L,1,4/18/2024,15:55:16
180020-2,1,Be,1,-0.002,mg/L,1,4/18/2024,15:55:16
180020-2,1,Ca,1,457.000,mg/L,1,4/18/2024,15:55:16
180020-2,1,Co,1,0.0004,mg/L,1,4/18/2024,15:55:16
180020-2,1,Cr,1,0.0067,mg/L,1,4/18/2024,15:55:16
180020-2,1,Cu,1,0.059,mg/L,1,4/18/2024,15:55:16
180020-2,1,Fe,1,0.211,mg/L,1,4/18/2024,15:55:16
180020-2,1,K,1,537.07,mg/L,1,4/18/2024,15:55:16
180020-2,1,La,1,Uncal,mg/L,1,4/18/2024,15:55:16
180020-2,1,Mg,1,828.26,mg/L,1,4/18/2024,15:55:16
180020-2,1,Mn,1,0.023,mg/L,1,4/18/2024,15:55:16
180020-2,1,Mo,1,0.020,mg/L,1,4/18/2024,15:55:16
180020-2,1,Na,1,11537.23,mg/L,1,4/18/2024,15:55:16
180020-2,1,Ni,1,0.019,mg/L,1,4/18/2024,15:55:16
180020-2,1,P,1,0.057,mg/L,1,4/18/2024,15:55:16
180020-2,1,S,1,612.93,mg/L,1,4/18/2024,15:55:16
180020-2,1,Sc,1,Uncal,mg/L,1,4/18/2024,15:55:16
180020-2,1,Si,1,13.900,mg/L,1,4/18/2024,15:55:16
180020-2,1,Sn,1,0.115,mg/L,1,4/18/2024,15:55:16
180020-2,1,Sr,1,5.51,mg/L,1,4/18/2024,15:55:16
180020-2,1,Ti,1,0.005,mg/L,1,4/18/2024,15:55:16
180020-2,1,V,1,0.013,mg/L,1,4/18/2024,15:55:16
180020-2,1,W,1,0.004,mg/L,1,4/18/2024,15:55:16
180020-2,1,Zn,1,0.0314,mg/L,1,4/18/2024,15:55:16
180021-1,1,Ag,1,0.000,mg/L,1,4/18/2024,15:57:58
180021-1,1,Al,1,0.222,mg/L,1,4/18/2024,15:57:58
180021-1,1,Au,1,Uncal,mg/L,1,4/18/2024,15:57:58
180021-1,1,B,1,0.947,mg/L,1,4/18/2024,15:57:58
180021-1,1,Ba,1,0.0131,mg/L,1,4/18/2024,15:57:58
180021-1,1,Be,1,0.000,mg/L,1,4/18/2024,15:57:58
180021-1,1,Ca,1,32.200,mg/L,1,4/18/2024,15:57:58
180021-1,1,Co,1,0.0001,mg/L,1,4/18/2024,15:57:58
180021-1,1,Cr,1,0.0003,mg/L,1,4/18/2024,15:57:58
180021-1,1,Cu,1,0.043,mg/L,1,4/18/2024,15:57:58
180021-1,1,Fe,1,0.182,mg/L,1,4/18/2024,15:57:58
180021-1,1,K,1,2.56,mg/L,1,4/18/2024,15:57:58
180021-1,1,La,1,Uncal,mg/L,1,4/18/2024,15:57:58
180021-1,1,Mg,1,2.58,mg/L,1,4/18/2024,15:57:58
180021-1,1,Mn,1,0.010,mg/L,1,4/18/2024,15:57:58
180021-1,1,Mo,1,0.002,mg/L,1,4/18/2024,15:57:58
180021-1,1,Na,1,178.25,mg/L,1,4/18/2024,15:57:58
180021-1,1,Ni,1,0.001,mg/L,1,4/18/2024,15:57:58
180021-1,1,P,1,0.028,mg/L,1,4/18/2024,15:57:58
180021-1,1,S,1,11.92,mg/L,1,4/18/2024,15:57:58
180021-1,1,Sc,1,Uncal,mg/L,1,4/18/2024,15:57:58
180021-1,1,Si,1,14.000,mg/L,1,4/18/2024,15:57:58
180021-1,1,Sn,1,0.005,mg/L,1,4/18/2024,15:57:58
180021-1,1,Sr,1,0.11,mg/L,1,4/18/2024,15:57:58
180021-1,1,Ti,1,0.001,mg/L,1,4/18/2024,15:57:58
180021-1,1,V,1,0.002,mg/L,1,4/18/2024,15:57:58
180021-1,1,W,1,0.001,mg/L,1,4/18/2024,15:57:58
180021-1,1,Zn,1,0.0700,mg/L,1,4/18/2024,15:57:58
180022-1,1,Ag,1,0.000,mg/L,1,4/18/2024,16:00:41
180022-1,1,Al,1,0.162,mg/L,1,4/18/2024,16:00:41
180022-1,1,Au,1,Uncal,mg/L,1,4/18/2024,16:00:41
180022-1,1,B,1,0.610,mg/L,1,4/18/2024,16:00:41
180022-1,1,Ba,1,0.0026,mg/L,1,4/18/2024,16:00:41
180022-1,1,Be,1,0.000,mg/L,1,4/18/2024,16:00:41
180022-1,1,Ca,1,0.236,mg/L,1,4/18/2024,16:00:41
180022-1,1,Co,1,0.0001,mg/L,1,4/18/2024,16:00:41
180022-1,1,Cr,1,0.0019,mg/L,1,4/18/2024,16:00:41
180022-1,1,Cu,1,0.085,mg/L,1,4/18/2024,16:00:41
180022-1,1,Fe,1,0.223,mg/L,1,4/18/2024,16:00:41
180022-1,1,K,1,0.24,mg/L,1,4/18/2024,16:00:41
180022-1,1,La,1,Uncal,mg/L,1,4/18/2024,16:00:41
180022-1,1,Mg,1,0.50,mg/L,1,4/18/2024,16:00:41
180022-1,1,Mn,1,0.001,mg/L,1,4/18/2024,16:00:41
180022-1,1,Mo,1,0.002,mg/L,1,4/18/2024,16:00:41
180022-1,1,Na,1,5.09,mg/L,1,4/18/2024,16:00:41
180022-1,1,Ni,1,0.000,mg/L,1,4/18/2024,16:00:41
180022-1,1,P,1,0.010,mg/L,1,4/18/2024,16:00:41
180022-1,1,S,1,0.33,mg/L,1,4/18/2024,16:00:41
180022-1,1,Sc,1,Uncal,mg/L,1,4/18/2024,16:00:41
180022-1,1,Si,1,1.020,mg/L,1,4/18/2024,16:00:41
180022-1,1,Sn,1,-0.001,mg/L,1,4/18/2024,16:00:41
180022-1,1,Sr,1,0.00,mg/L,1,4/18/2024,16:00:41
180022-1,1,Ti,1,0.001,mg/L,1,4/18/2024,16:00:41
180022-1,1,V,1,0.000,mg/L,1,4/18/2024,16:00:41
180022-1,1,W,1,0.003,mg/L,1,4/18/2024,16:00:41
180022-1,1,Zn,1,0.3160,mg/L,1,4/18/2024,16:00:41
180022-2,1,Ag,1,-0.012,mg/L,1,4/18/2024,16:03:23
180022-2,1,Al,1,12.800,mg/L,1,4/18/2024,16:03:23
180022-2,1,Au,1,Uncal,mg/L,1,4/18/2024,16:03:23
180022-2,1,B,1,44.300,mg/L,1,4/18/2024,16:03:23
180022-2,1,Ba,1,0.1750,mg/L,1,4/18/2024,16:03:23
180022-2,1,Be,1,0.001,mg/L,1,4/18/2024,16:03:23
180022-2,1,Ca,1,18.400,mg/L,1,4/18/2024,16:03:23
180022-2,1,Co,1,0.0187,mg/L,1,4/18/2024,16:03:23
180022-2,1,Cr,1,0.1090,mg/L,1,4/18/2024,16:03:23
180022-2,1,Cu,1,0.310,mg/L,1,4/18/2024,16:03:23
180022-2,1,Fe,1,7.750,mg/L,1,4/18/2024,16:03:23
180022-2,1,K,1,18.86,mg/L,1,4/18/2024,16:03:23
180022-2,1,La,1,Uncal,mg/L,1,4/18/2024,16:03:23
180022-2,1,Mg,1,27.76,mg/L,1,4/18/2024,16:03:23
180022-2,1,Mn,1,0.074,mg/L,1,4/18/2024,16:03:23
180022-2,1,Mo,1,0.103,mg/L,1,4/18/2024,16:03:23
180022-2,1,Na,1,265.76,mg/L,1,4/18/2024,16:03:23
180022-2,1,Ni,1,-0.064,mg/L,1,4/18/2024,16:03:23
180022-2,1,P,1,0.230,mg/L,1,4/18/2024,16:03:23
180022-2,1,S,1,18.15,mg/L,1,4/18/2024,16:03:23
180022-2,1,Sc,1,Uncal,mg/L,1,4/18/2024,16:03:23
180022-2,1,Si,1,71.400,mg/L,1,4/18/2024,16:03:23
180022-2,1,Sn,1,0.103,mg/L,1,4/18/2024,16:03:23
180022-2,1,Sr,1,0.19,mg/L,1,4/18/2024,16:03:23
180022-2,1,Ti,1,0.053,mg/L,1,4/18/2024,16:03:23
180022-2,1,V,1,0.019,mg/L,1,4/18/2024,16:03:23
180022-2,1,W,1,0.142,mg/L,1,4/18/2024,16:03:23
180022-2,1,Zn,1,17.3000,mg/L,1,4/18/2024,16:03:23
180022-3,1,Ag,1,-0.010,mg/L,1,4/18/2024,16:06:06
180022-3,1,Al,1,11.300,mg/L,1,4/18/2024,16:06:06
180022-3,1,Au,1,Uncal,mg/L,1,4/18/2024,16:06:06
180022-3,1,B,1,40.900,mg/L,1,4/18/2024,16:06:06
