Sample,Analyte,Element,HT, ,units,rep,1/9/2022,10:30:26
165707-1,1,Ag,1,0.000,mg/L,1,1/9/2022,10:54:38
165707-1,1,Al,1,0.155,mg/L,1,1/9/2022,10:54:38
165707-1,1,Au,1,Uncal,mg/L,1,1/9/2022,10:54:38
165707-1,1,B,1,0.662,mg/L,1,1/9/2022,10:54:38
165707-1,1,Ba,1,0.0280,mg/L,1,1/9/2022,10:54:38
165707-1,1,Be,1,0.001,mg/L,1,1/9/2022,10:54:38
165707-1,1,Ca,1,31.100,mg/L,1,1/9/2022,10:54:38
165707-1,1,Co,1,0.0002,mg/L,1,1/9/2022,10:54:38
165707-1,1,Cr,1,-0.0043,mg/L,1,1/9/2022,10:54:38
165707-1,1,Cu,1,0.003,mg/L,1,1/9/2022,10:54:38
165707-1,1,Fe,1,0.088,mg/L,1,1/9/2022,10:54:38
165707-1,1,K,1,0.51,mg/L,1,1/9/2022,10:54:38
165707-1,1,La,1,Uncal,mg/L,1,1/9/2022,10:54:38
165707-1,1,Mg,1,9.68,mg/L,1,1/9/2022,10:54:38
165707-1,1,Mn,1,0.022,mg/L,1,1/9/2022,10:54:38
165707-1,1,Mo,1,0.003,mg/L,1,1/9/2022,10:54:38
165707-1,1,Na,1,2.72,mg/L,1,1/9/2022,10:54:38
165707-1,1,Ni,1,-0.004,mg/L,1,1/9/2022,10:54:38
165707-1,1,P,1,0.000,mg/L,1,1/9/2022,10:54:38
165707-1,1,S,1,0.29,mg/L,1,1/9/2022,10:54:38
165707-1,1,Sc,1,Uncal,mg/L,1,1/9/2022,10:54:38
165707-1,1,Si,1,3.900,mg/L,1,1/9/2022,10:54:38
165707-1,1,Sn,1,-0.001,mg/L,1,1/9/2022,10:54:38
165707-1,1,Sr,1,0.04,mg/L,1,1/9/2022,10:54:38
165707-1,1,Ti,1,0.001,mg/L,1,1/9/2022,10:54:38
165707-1,1,V,1,0.001,mg/L,1,1/9/2022,10:54:38
165707-1,1,W,1,0.007,mg/L,1,1/9/2022,10:54:38
165707-1,1,Zn,1,0.0164,mg/L,1,1/9/2022,10:54:38
165707-2,1,Ag,1,0.000,mg/L,1,1/9/2022,10:56:49
165707-2,1,Al,1,0.187,mg/L,1,1/9/2022,10:56:49
165707-2,1,Au,1,Uncal,mg/L,1,1/9/2022,10:56:49
165707-2,1,B,1,0.631,mg/L,1,1/9/2022,10:56:49
165707-2,1,Ba,1,0.0312,mg/L,1,1/9/2022,10:56:49
165707-2,1,Be,1,0.000,mg/L,1,1/9/2022,10:56:49
165707-2,1,Ca,1,34.400,mg/L,1,1/9/2022,10:56:49
165707-2,1,Co,1,-0.0002,mg/L,1,1/9/2022,10:56:49
165707-2,1,Cr,1,-0.0065,mg/L,1,1/9/2022,10:56:49
165707-2,1,Cu,1,0.020,mg/L,1,1/9/2022,10:56:49
165707-2,1,Fe,1,0.110,mg/L,1,1/9/2022,10:56:49
165707-2,1,K,1,0.57,mg/L,1,1/9/2022,10:56:49
165707-2,1,La,1,Uncal,mg/L,1,1/9/2022,10:56:49
